BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
1/31/2024,CHINA-WAREHOUSE,MAT-0046,9511,24750,KG,159143,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0046,4211,41925,KG,269578,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0046,2248,75625,KG,486269,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0046,7253,64625,KG,415539,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0046,1986,64200,KG,412806,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0194,SCRAP,194,KG,608,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0257,4157A,4775,KG,9693,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0257,SCRAP,5164,KG,10482,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8366,15125,KG,47493,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,7680,700,KG,2198,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8508,48075,KG,150956,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,6058,24750,KG,77715,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,6938,44000,KG,138160,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,5314,49375,KG,155038,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8293,24225,KG,76067,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,2156,15125,KG,47493,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8759,54950,KG,172543,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,6259,49375,KG,155038,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,5148A,1200,KG,10236,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,1944A,12425,KG,105985,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,2090A,25000,KG,213250,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,9762A,105000,KG,895650,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,7599A,30000,KG,255900,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,7853A,32500,KG,277225,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,9359A,88675,KG,756398,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,3782A,67500,KG,575775,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0082,8111A,11250,KG,95963,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,3423A,35000,KG,298550,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,8958A,1050,KG,8957,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,2945A,66150,KG,564260,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,4889A,41200,KG,351436,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,3314A,2500,KG,21325,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,3532A,1250,KG,10663,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,6746A,60000,KG,511800,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,1825A,85000,KG,725050,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,4531A,101250,KG,863663,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,7900A,100000,KG,853000,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,9845A,90000,KG,767700,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,2751A,18750,KG,159938,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0047,3175A,5000,KG,42650,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0094,2542A,1800,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0258,9307A3844,9625,KG,56403,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0258,M7075B,1925,KG,11281,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0258,SCRAP,11187,KG,65558,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,9061A,900,KG,2826,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,8447A,5500,KG,17270,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,9735A,28725,KG,90197,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,9226A,625,KG,1963,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,1423A,45000,KG,141300,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0259,3487A,45000,KG,141300,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0098,9004A,43925,KG,97953,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0098,8715A,131825,KG,293970,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M6854B,1125,KG,4838,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M3678A,1375,KG,5913,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M7346A,85175,KG,366253,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M8164A,61875,KG,266063,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M5829B,82500,KG,354750,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M1528C,11000,KG,47300,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M2486A,15125,KG,65038,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M3791B,9625,KG,41388,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M5597B,57750,KG,248325,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M9152A,24725,KG,106318,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M9486B,16500,KG,70950,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M8201C,17875,KG,76863,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M2579A,28875,KG,124163,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M4688B,26125,KG,112338,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M6726C,82500,KG,354750,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M7918A,23375,KG,100513,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M9252C,15125,KG,65038,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M1995C,77000,KG,331100,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M3007A,90750,KG,390225,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M8070B,88000,KG,378400,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M3971C,24750,KG,106425,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M5585B,33000,KG,141900,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M4932C,67325,KG,289498,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0099,M4750A,48125,KG,206938,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0375,P9558A,125,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0375,P5154A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0375,P9091A,50950,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0375,P2167A,51000,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0376,P8018A,1175,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0376,P6453A,1500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0312,P3115A,975,KG,3861,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0312,P9167A,31350,KG,124542,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0233,P5822A,525,KG,2079,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0233,P4793A,3000,KG,11880,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0233,P7722A,3000,KG,11880,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0377,P9024A,1325,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0377,P6100A,50900,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0377,P4150A,98900,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0377,P6717A,1100,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,6338,700,KG,2198,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,7701,23325,KG,73241,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,5498,106675,KG,334960,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,7484,2500,KG,7850,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,9399,157875,KG,495728,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,9553,30250,KG,94985,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,5258,55000,KG,172700,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,3856,79750,KG,250415,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,9568,1375,KG,4318,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,8787,153950,KG,483403,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,7513,675,KG,2120,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,7365,30100,KG,94514,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,1295,73575,KG,231026,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,E6887A,1300,KG,7852,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,E2694A,150,KG,906,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,E5167A,1275,KG,7701,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,E3128A,1300,KG,7852,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,E1699A,1275,KG,7701,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,S7146A,1250,KG,7550,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0100,SCRAP,5143,KG,31063,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0095,SCRAP,1685,KG,2325,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0260,8509A,2400,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0204,4880A,9600,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0204,8331A,600,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0052,4755A,8400,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P9226A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P3205A,125,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P1110A,76500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P5729A,76425,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P9149A,178500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0141,SCRAP,8534,KG,31917,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0313,P7592A,1500,KG,6336,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0313,P8966A,1000,KG,3960,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,SCRAP,7369,KG,105742,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,T2455A,1175,KG,16861,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,T5551A,675,KG,9686,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,T7421A,1075,KG,15426,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V8051A,875,KG,12556,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V7518A,100,KG,1435,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V2061A,675,KG,9686,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V4761A,525,KG,7534,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V2724A,125,KG,1794,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V6816A,1000,KG,14350,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V3118A,650,KG,9328,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V2011A,350,KG,5023,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V4008A,1300,KG,18655,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V3640A,1325,KG,19014,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V6558A,1500,KG,21525,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V6789A,725,KG,10404,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V3262A,150,KG,2153,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V9383A,125,KG,1794,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V9606A,1475,KG,21166,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0199,V2440A,775,KG,11121,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0200,8656A,600,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V7073A,475,KG,5045,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V9711A,146875,KG,1559813,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V3722A,56925,KG,604544,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V6666A,1050,KG,11151,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V6609A,57000,KG,605340,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V2490A,199500,KG,2118690,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V6324A,146925,KG,1560344,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V2118A,196175,KG,2083379,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V3829A,93700,KG,1119715,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V5271A,308900,KG,3691355,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V1930A,127450,KG,1523028,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V3917A,521650,KG,6233718,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V7931A,263875,KG,3153306,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V2656A,437825,KG,5232009,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0144,V1646A,98050,KG,1041291,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0144,V7961A,178400,KG,1894608,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V4616A,625,KG,6719,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V1892A,1400,KG,15050,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V2944A,825,KG,8869,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V8079A,15000,KG,161250,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V1803A,32950,KG,354213,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V2181A,569825,KG,6125619,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V3873A,49500,KG,532125,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V6253A,79500,KG,854625,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V4730A,244350,KG,2626763,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V4194A,185925,KG,1998694,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V9468A,550,KG,6617,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V6285A,5950,KG,71579,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V4193A,1450,KG,17444,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V6964A,170925,KG,2056228,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V1126A,83950,KG,1009919,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V8818A,254900,KG,3066447,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V5910A,278875,KG,3354866,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V9422A,365875,KG,4401476,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V3182A,451350,KG,5429741,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V7533A,191900,KG,2308557,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V9040A,296900,KG,3571707,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V8150A,123000,KG,1479690,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V5858A,44900,KG,476838,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V6160A,140200,KG,1488924,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V3718A,211425,KG,2245334,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V1024A,298375,KG,3168743,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V9579A,266925,KG,2834744,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V6975A,89925,KG,955004,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0262,E9917A,49500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S5659A,725,KG,5329,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S5796A,1300,KG,9555,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S4343A,1275,KG,9371,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S2732A,206150,KG,1879028,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S3684A,379425,KG,2788774,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0048,SCRAP,24,KG,31,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0205,SCRAP,386,KG,2333,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0176,T2572A,102000,KG,1297440,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M3832A,74250,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M8913A,39875,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M9260B,34350,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M4796B,4125,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M9345B,1375,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0096,M4548C,68675,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,R1561A,4050,KG,18468,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S8199A,0,KG,110808,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S9026A,0,KG,19722,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S4280A,675,KG,3078,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S5192A,0,KG,112860,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S2020A,148425,KG,676818,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S5686A,445425,KG,2031138,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0049,S6930A,975,KG,117306,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0049,S8187A,19200,KG,313272,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0013,V9843A,176600,KG,1898450,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0013,V2096A,153000,KG,1644750,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0147,V2793A,4275,KG,2138,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0147,V2472A,127400,KG,63700,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0147,V6865A,76500,KG,38250,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0003,7795,73372,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0003,8045,39168,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0004,V8928C,4500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0004,V2541A,2975,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0004,V6032A,51000,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0004,V7115A,25450,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0320,M7894A,16200,KG,73872,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0016,E2405A,0,KG,2924,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0016,E6401A,0,KG,52637,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R8701A,24725,KG,181729,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R9005A,1200,KG,8820,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R6359A,148500,KG,1091475,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R2954A,86500,KG,635775,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R3567A,247500,KG,1819125,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,R1291A,148400,KG,1090740,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,S7794A,0,KG,177870,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,S1745A,200,KG,1470,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,S5257A,184200,KG,1353870,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,S9812A,0,KG,363825,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0053,R9300A,200,KG,1518,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0053,R8246A,86575,KG,657104,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,R1954A,148500,KG,1127115,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,S6456A,132600,KG,1006434,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,S5757A,130575,KG,991064,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0097,E5352A,750,KG,5693,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0097,E2442A,74250,KG,563558,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E7628A,350,KG,2657,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E8192A,1325,KG,10057,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E6021A,1150,KG,8729,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E8040A,0,KG,375705,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E9037A,272250,KG,2066378,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E2564A,0,KG,353315,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E1798A,0,KG,249521,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E5228A,0,KG,125235,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0266,E8649A,98700,KG,749133,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0316,E2205A,0,KG,486329,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0316,E8965A,800,KG,6072,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0316,E8772A,148500,KG,1127115,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0101,E5517A,173100,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0153,E4127A,0,KG,1395042,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0153,E9851A,0,KG,1126546,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0153,E1878A,2150,KG,16319,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0153,E9166A,1275,KG,9677,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0153,E2436A,21975,KG,166790,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0322,E8696A,775,KG,5882,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0322,E2050A,1275,KG,9677,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0322,E9808A,24675,KG,187283,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0383,M9989B,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0383,M9652A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0383,M8170A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0383,M5350A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0383,M7382A,0,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M3040C,2175,KG,8765,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M3886B,6875,KG,27706,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M5555C,28825,KG,116165,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M4427A,9475,KG,38184,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M4285B,16475,KG,66394,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M6564A,28875,KG,116366,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0148,M5463B,65900,KG,265577,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M4759B,1250,KG,413,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M8847A,1325,KG,437,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M8280B,750,KG,248,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M3594A,1175,KG,388,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M7223B,34325,KG,11327,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M2220A,90675,KG,29923,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0154,M6329B,8250,KG,2723,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0384,S7091A,24750,KG,181913,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0054,M7882B,5000,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M6884C,1200,KG,3360,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M3717B,24750,KG,69300,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M9351A,19250,KG,53900,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M5033B,26050,KG,72940,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M1388A,49500,KG,138600,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M2075B,82425,KG,230790,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M6080A,8250,KG,23100,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0378,M6180B,55000,KG,154000,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0155,SCRAP,142,KG,241,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0002,N9650A,1175,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0267,N5963A,9400,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0415,N3813A,1075,KG,8159,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0415,N3272A,108775,KG,825602,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0415,N1438A,24750,KG,187853,CNY
